N,p_3,p_5,p_10,p_15,p_20,p_25,p_30
78630,0.2500063590174044,0.16667302571102877,0.0909154500208473,0.06250635917915073,0.04762540686559264,0.038467897775477815,0.03226442389746269
78640,0.25000635820876516,0.1666730249023827,0.09091544921218413,0.0625063583704704,0.04762540605689518,0.0384678969667632,0.03226442308873094
78650,0.2500063574003316,0.16667302409394227,0.09091544840372656,0.06250635756199571,0.04762540524840336,0.03846789615825424,0.03226442228020485
78660,0.25000635659210363,0.1666730232857074,0.09091544759547457,0.06250635675372658,0.04762540444011711,0.03846789534995088,0.03226442147188436
78670,0.25000635578408104,0.16667302247767798,0.09091544678742805,0.06250635594566295,0.04762540363203637,0.038467894541853,0.03226442066376938
78680,0.2500063549762639,0.16667302166985404,0.09091544597958699,0.06250635513780475,0.047625402824161056,0.03846789373396057,0.03226441985585984
78690,0.25000635416865213,0.16667302086223534,0.09091544517195121,0.06250635433015186,0.04762540201649106,0.03846789292627348,0.032264419048155635
78700,0.2500063533612455,0.16667302005482199,0.0909154443645207,0.06250635352270426,0.04762540120902634,0.03846789211879166,0.03226441824065672
78710,0.2500063525540441,0.16667301924761374,0.09091544355729535,0.06250635271546182,0.04762540040176681,0.03846789131151505,0.032264417433363
78720,0.25000635174704783,0.16667301844061053,0.09091544275027508,0.06250635190842448,0.04762539959471239,0.03846789050444353,0.032264416626274404
78730,0.25000635094025647,0.1666730176338124,0.09091544194345988,0.06250635110159214,0.04762539878786302,0.038467889697577064,0.03226441581939086
78740,0.25000635013367,0.1666730168272192,0.09091544113684957,0.06250635029496482,0.047625397981218565,0.03846788889091556,0.03226441501271226
78750,0.2500063493272885,0.16667301602083084,0.09091544033044412,0.06250634948854229,0.047625397174779,0.03846788808445892,0.03226441420623856
78760,0.2500063485211118,0.16667301521464725,0.09091543952424345,0.06250634868232459,0.047625396368544216,0.038467887278207075,0.03226441339996966
78770,0.2500063477151397,0.16667301440866836,0.09091543871824753,0.06250634787631158,0.04762539556251415,0.038467886472159964,0.032264412593905493
78780,0.25000634690937223,0.16667301360289405,0.09091543791245622,0.0625063470705032,0.04762539475668875,0.0384678856663175,0.03226441178804599
78790,0.25000634610380934,0.16667301279732435,0.09091543710686945,0.06250634626489941,0.04762539395106788,0.0384678848606796,0.03226441098239105
78800,0.25000634529845084,0.16667301199195908,0.09091543630148714,0.0625063454595001,0.0476253931456515,0.03846788405524619,0.032264410176940594
78810,0.2500063444932968,0.16667301118679814,0.09091543549630925,0.06250634465430512,0.047625392340439554,0.038467883250017196,0.03226440937169458
